a|يك(0.5)
tool|ابزار(0.75),الت(0.25),اسباب(0.25),برگ(0.25),افزار(0.25),الت دست(0.25),ساز(0.25),شكل دادن(0.25),مجهز كردن(0.25),داراي ابزار كردن(0.25),بصورت ابزار دراوردن(0.25)
top|بالا(0.75),نوك(0.5),راس(0.5),سر(0.25),فرق سر(0.25),تاپ(0.25),فرفره(0.25),اوج(0.25),قله(0.25),رو(0.25),روپوش(0.25),كروك(0.25),رويه(0.25),درجه يك فوقاني(0.25),تپه(0.25),فرق(0.25),عالي(0.5),فوقاني(0.5),كج كردن(0.25)
topic|موضوع(0.75),مبحث(0.75),سرفصل(0.5)
torres|تورس(0.75)
torrid|بسيار مشتاق(0.75),سوزاننده(0.75),حاره(0.5),زياد گرم(0.5),حاد(0.5),سوزان(0.5),محترق(0.5)
torso|تاب گشت(0.5)
torture|شكنجه(0.75),عذاب(0.5),زجر(0.25),ازار رساندن(0.25),زجر دادن(0.25)
tory|وابسته به حزب محافظه كار(0.75)
toss|پرتاب(0.75),تلاطم(0.5),پرت كردن(0.75),انداختن(0.75),بالا انداختن(0.5),دستخوش اواج شدن(0.5)
total|كل(0.75),مجموع(0.75),كلي(0.75),تام(0.5),كامل(0.5),مطلق(0.25),جمع(0.5),جمع كل(0.5),جمله(0.25),حاصل جمع(0.25),جمع كردن(0.25)
totter|پس و پيش رفتن(0.75),ترديد كردن(0.75),تلو تلو خوردن(0.75),متزلزل شدن(0.75)
touch|زدن(0.5),لمس كردن(0.5),دست زدن به(0.5),پرماسيدن(0.25),رسيدن به(0.25),متاثر كردن(0.25),متاثر شدن(0.25),لمس دست زني(0.25),پرماس(0.25),حس لامسه(0.25),احساس با دست(0.25)
touchdown|زمين نشستن كامل هواپيما(0.75)
tour|سفر(0.75),گشت(0.5),سياحت(0.5),مسافرت(0.5),ماموريت(0.5),سير(0.25),نوبت(0.25),گشت كردن(0.25),سياحت كردن(0.25),جهانگردي كردن(0.25),سير كردن(0.25)
tourism|جهانگردي(0.5),گشتگري(0.25)
tourist|توريست(0.75),جهانگرد(0.5),سياح(0.25),گشت گر(0.25)
touting|اخيرا براي شعار(0.75)
toward|نسبت به(0.75),بسوي(0.5),روي(0.25),بطرف(0.25),نزديك به(0.25),در راه(0.25),براي(0.25),در باره(0.25),اينده(0.25)
towards|طرف(0.5)
tower|برج(0.75),قلعه بلند بودن(0.25)
town|شهر(0.75),قصبه(0.25),شهرك(0.75),شهر كوچك(0.25),قصبه حومه شهر(0.25)
township|شهرستان(0.75),ساكنين قصبه ياشهرستان(0.25)
toxic|سمي(0.75),زهري(0.5),ناشي از زهر اگيني(0.25),زهراگين(0.25)
toxicity|سميت(0.75)
toxin|زهرابه(0.5),تركيب زهردار(0.25),داروي سمي(0.25)
toxteth|toxteth(0.75)
trace|اثر(0.5),رد(0.5),مقدار كم(0.5),طرح(0.25),نشان(0.25),رد پا(0.25),جاي پا(0.25),مقدار ناچيز(0.25),رديابي كردن(0.25),رسم كردن(0.25),ترسيم كردن(0.25),ضبط كردن(0.25),كشيدن(0.25),اثر گذاشتن(0.25),دنبال كردن(0.25),پي كردن(0.25),پي بردن به(0.25)
track|مسير(0.75),راه(0.5),شيار(0.5),خط(0.5),زنجير(0.25),رد پا(0.25),اثر(0.25),خط راه اهن(0.25),لبه(0.25),خط اهن(0.25),باريكه(0.25),جاده(0.25),نشان(0.25),مسابقه دويدن(0.25),تسلسل(0.25),توالي(0.25),دنبال كردن(0.5),پيگردي كردن(0.25),ردپا را گرفتن(0.25),پي كردن(0.25)
traction|كشش(0.75),انقباض(0.5)
tractor|تراكتور(0.75)
trade|تجارت(0.75),بازرگاني(0.75),داد و ستد(0.5),سرگرمي(0.25),سوداگري(0.25),حرفه(0.25),شغل(0.25),پيشه(0.25),كسب(0.25),كاسبي(0.25),امد و رفت(0.25),ازار(0.25),مبادله كالا(0.25),سودا(0.25),معامله كردن(0.25),مبادله كردن(0.25),تجارت كردن با(0.25),داد و ستد كردن(0.25)
trading|تجارت(0.75)
tradition|سنت(0.75),رسم(0.5),عرف(0.5),عقيده رايج(0.25),مرسوم(0.5),عادت(0.25),عقيده موروثي(0.25),روايت متداول(0.25)
traditional|مرسوم(0.5),نقلي(0.25),عرفي(0.25)
traditionally|به طور سنتي(0.75)
traffic|ترافيك(0.75),عبور و مرور(0.5),رفت و امد(0.5),شد و امد(0.25),ترابري(0.25),امد و شد(0.25),وسائط نقليه(0.25),كسب(0.25),كالا(0.25),مخابره(0.25),امد و شد كردن(0.25),تردد كردن(0.25),داد و ستد ارتباط(0.25)
trafficker|تاجر(0.5),كسب(0.5),كاسب(0.5),دكان دار(0.5),پشت هم انداز(0.5),دسيسه(0.5),سودا گر(0.5),كالا(0.25)
trafficking|قاچاق(0.75)
tragedy|تراژدي(0.75),فاجعه(0.75),مصيبت(0.5),نمايش حزن انگيز(0.25),سوگ نمايش(0.25)
tragic|غم انگيز(0.75),فجيع(0.5),حزن انگيز(0.5),محزون(0.25)
tragically|غم انگيز(0.75)
trail|دنباله(0.75),دنباله دار بودن(0.5),بدنبال كشيدن(0.25),بدنبال حركت كردن(0.25),طفيلي بودن(0.25),دنباله داشتن(0.25),اثر پا باقي گذاردن(0.25)
trailer|پشت بند(0.5),يدك(0.5),يدك دوچرخه ياسه چرخه ياواگن(0.25),ترايلر(0.25),اتومبيل يدك كش(0.25),ردپاگير(0.25),پشتي(0.25)
train|قطار(0.75),دنباله(0.25),سلسله(0.25),دم(0.25),ازار(0.25),رشته(0.25),متلزمين(0.25),نظم(0.25),ترتيب(0.25),سلسله وقايع توالي(0.25),تله(0.25),فريب اغفال(0.25),مشق كردن(0.25),تربيت كردن(0.25),پروردن(0.25),ورزيدن(0.25),فرهيختن(0.25),ورزش كردن(0.25),نشانه رفتن(0.25),تعليم دادن(0.25)
training|تعليم(0.5),پرورش(0.5),تدريس(0.5),اموزش(0.5),مشق(0.25),تحصيل(0.25),مكتب(0.25)
tram|ترامواي(0.75),واگن برقي(0.5),با واگن رفتن(0.5)
trammel|محدود ساختن(0.75),بدام انداختن(0.75),يكجور دام يا تور(0.75),كملاف(0.75),الت ترسيم بيضي(0.75),پا بند(0.75)
transaction|معامله(0.75),سودا(0.25),تركنش(0.25),انجام(0.25)
transboundary|فرامرزي(0.75)
transfer|انتقال(0.75),نقل(0.5),تحويل(0.25),واگذاري(0.5),ورابري(0.25),انتقال واگذاري(0.25),سند انتقال(0.25),انتقالي(0.5),ورابردن(0.25),انتقال دادن(0.25),انقال دادن(0.25),واگذار كردن(0.25),منتقل كردن(0.25)
transit|عبور(0.5),گذر(0.5),عبور و مرور(0.5),راه عبور(0.25),حق العبور(0.25),عبور كردن(0.25)
transition|انتقال(0.75),گذار(0.75),تحول(0.5),عبور(0.5),تغيير از يك حالت بحالت ديگر(0.25),مرحله تغيير(0.25),برزخ(0.25)
translate|ترجمه كردن(0.5),معني كردن(0.25),تفسير كردن(0.25),بر گرداندن(0.25)
transmission|انتقال(0.75),ارسال(0.5),مخابره(0.5),عبور(0.5),سرايت(0.5),فرا فرستي(0.25),سخن پراكني(0.25)
transmit|انتقال(0.75),پراكندن(0.5),مخابره كردن(0.25),فرا فرستادن(0.25),انتقال دادن(0.25),رساندن(0.25),سرايت كردن(0.25),فرستا دن(0.25)
transport|حمل و نقل(0.75),ترابري(0.75),حامل(0.25),باركش(0.25),وسيله نقليه(0.25),حمل كردن(0.25),ترابري كردن(0.25),بردن(0.25),نقل و انتقال دادن(0.25),از خود بيخود شدن(0.25),از جا در رفتن(0.25)
transportation|حمل و نقل(0.75),ترابري(0.5),انتقال(0.5),نقل(0.5),باركشي(0.25),تبعيد(0.25),سرويس باربري(0.25)
trap|دام(0.75),تله(0.75),گير(0.5),زانويي مستراح و غيره تله(0.25),در تله اندازي(0.25),دريچه(0.25),محوطه كوچك(0.25),شكماف(0.25),نيرنگ(0.25),فريب دهان(0.25),نردبان قابل حمل(0.25),اسباب(0.25),بدام انداختن(0.25),در تله انداختن(0.25)
travel|سفر(0.75),مسافرت(0.75),حركت(0.5),سياحت(0.25),جهانگردي(0.25),جنبش(0.25),گردش(0.25),سير(0.25),سفر كردن(0.25),پيمودن(0.25),سياحت كردن(0.25),در نرو ديدن(0.25),مسافرت كردن(0.25),رهسپار شدن(0.25),سير كردن(0.25)
tread|گام برداري(0.5),راه رفتن(0.5),لگد كردن(0.5),پا گذاشتن(0.5)
treasury|خزانه(0.75),گنجينه(0.5),خزانه داري(0.75),مجموعه(0.25),گنج(0.5)
treat|درمان(0.75)
treatment|درمان(0.75),معالجه(0.5),رفتار(0.5),علاج(0.5),معامله(0.25),تلقي(0.25)
treaty|پيمان(0.75),معاهده(0.75),عهد نامه(0.5),عهد(0.5),قرارداد(0.5),پيمان نامه(0.5),موافقت(0.25),عقد(0.25)
tree|درخت(0.75),شجر(0.25),قالب كفش(0.25),چوبه دار(0.25),شجره النسب(0.25),درخت كاشتن(0.25),بدرخت پناه بردن(0.25),بشكل درخت شدن(0.25),در تنگنا قرار دادن(0.25)
tremendous|عظيم(0.75),شگرف(0.5),سرشار(0.25),عظيم الجثه(0.25),ترسناك(0.25),فاحش(0.25)
tremendously|فوق العاده(0.75)
trend|گرايش(0.5),تمايل(0.5)
trepidation|بيم و هراس(0.75),اشتفگي(0.75),لرزش(0.75),وحشت(0.75),رعشه(0.75)
trial|محاكمه(0.75),امتحان(0.5),مرافعه(0.25),محنت(0.25),رنج(0.25),ازمايش(0.25),كوشش(0.25),دادرسي(0.5)
tribe|قبيله(0.75),عشيره(0.5),ايل(0.75),طايفه(0.5),قبايل(0.5),سبط(0.5),ابه(0.25),حي(0.25),خانواده(0.25),تبار(0.25),خيل(0.25)
tribunal|محكمه(0.5),دادگاه محكمه(0.5),ديوان محاكمات(0.25)
triceps|ماهيچه سه سر(0.75)
trick|فوت و فن(0.75),حقه(0.75),لم(0.5),حيله(0.5),نيرنگ(0.25),خدعه(0.25),شعبده بازي(0.5),شيادي(0.25),رمز(0.25),بامبول(0.25),حيله زدن(0.25),شوخي كردن(0.25),بامبول زدن(0.25),خار كردن(0.25),حقه بازي كردن(0.25)
tricky|مكار(0.5),مزورانه(0.5),نيرنگ باز(0.5),شيادانه(0.5),نيرنگ اميز(0.5),خدعه اميز(0.5),مهارت اميز(0.5),متقلب(0.5),از روي حيله و تزوير(0.25)
trip|سفر(0.75),گردش(0.5),سياحت(0.25),سبك رفتن(0.25),لغزش خوردن(0.25),لغزش(0.25),پشت پا خوردن يازدن(0.25),سكندري خوردن(0.25),سفر كردن(0.25),گردش كردن(0.25)
trivial|جزيي(0.75),بديهي(0.75),ناچيز(0.5),مبتذل(0.5),بيهوده(0.5),بي مزه(0.25),چيزهاي بي اهميت(0.25),نا قابل(0.25)
troop|دسته(0.5),گروه(0.25),عده سربازان(0.25),استواران(0.25),خيل(0.25),فراهم كردن(0.25),گرد اوردن(0.25),فراهم امدن(0.25),دسته دسته شدن(0.25),رژه رفتن(0.25)
trooper|سپاهي(0.75),نظامي(0.75),اسب سواري(0.5)
trouble|زحمت(0.5),سختي(0.5),قيد(0.25),مزاحمت(0.25),ازار(0.25),خارش(0.25),مزاحم شدن(0.25),عذاب دادن(0.25),ازار دادن(0.25),رنجه كردن(0.25),زحمت دادن(0.25),دچار كردن(0.25),اشفتن(0.25),مصدع كسي شدن(0.25)
troubled|مشكل(0.75)
trudge|با خستگي راه رفتن(0.75),راه پيمايي بازحمت(0.75),قدم اهسته(0.75)
true|واقعي(0.75),درست(0.75),حقيقي(0.5),صحيح(0.5),راستين(0.5),راست(0.5),ثابت(0.25),راستگو(0.25),فريور(0.25),ثابت ياحقيقي كردن(0.25)
trundle|Wird übersetzt(0.75)
trunk|تنه(0.75),صندوق عقب(0.75),صندوق(0.5),بدنه(0.5),خرطوم فيل(0.25),شاه سيم(0.25),كنده درخت(0.25),خرطوم بيني انسان(0.25),چمدان بزرگ(0.25),بدنهستون(0.25)
trust|اعتماد(0.75),اعتقاد(0.5),اطمينان(0.5),امانت(0.5),ايمان(0.5),توكل(0.5),اعتبار(0.5),قرض(0.25),اميد(0.25),مسئوليت(0.25),وديعه(0.25),اتحاديه شركتها(0.25),ائتلاف(0.25),اعتماد داشتن(0.25)
trusteeship|امانت(0.75),توليت(0.75),امانت داري(0.5),جز امنا بودن(0.5)
truth|حقيقت(0.75),صدق(0.5),راستي(0.5),درستي(0.5),صداقت(0.5),راست(0.5),حقانيت(0.25)
try|امتحان(0.75),كوشش(0.5),ازمايش(0.25),ازمون(0.25),تجربه كردن(0.25),تلاش كردن(0.25),كوشش كردن(0.25),محك كردن(0.25),سعي كردن(0.25),كوشيدن(0.25),ازمودن(0.25),محاكمه كردن(0.25),جدا كردن(0.25),سر و دست شكسن(0.25)
tsunami|سونامي(0.75)
tube|لوله(0.75),لامپ(0.5),ني(0.5),تونل(0.25),مجرا(0.25),دودكش(0.25),ناي(0.25),لوله خمي رريش و غيره(0.25),ناودان(0.25),لوله دار كردن(0.25),از لوله رد كردن(0.25)
tuberculin|توبركولين(0.75)
tuberculosis|مرض سل(0.5)
tucson|توسان(0.75)
tumble|جست و خيز كردن(0.75),رقصيدن(0.5),پريدن(0.5),لغزيدن(0.5),ناگهان افتادن(0.5),غلت خوردن(0.5),افتادن(0.5),چرخش(0.5),اشفتگي(0.5),بهم ريختگي(0.5)
tune|لحن(0.75),اهنگ(0.5),نغمه(0.5),نوا(0.5),خنيا(0.25),اهنگ صدا(0.25),اواز(0.25),لحن تلفظ(0.25),رنگ(0.25),كوك كردن(0.5),ميزان كردن(0.5),وفق دادن(0.25),ساز زدن(0.5)
tunnel|تونل(0.75),نقب(0.5),سوراخ كوه(0.25),نقب راه(0.25),نقب زدن(0.25),تونل ساختن(0.25)
turkish|تركي(0.75)
turmoil|پريشاني(0.5),بهم خوردگي(0.5),غوغا(0.5),اشفتگي(0.5),ناراحتي(0.25)
turn|نوبت(0.75),چرخش(0.5),گردش(0.5),پيچ(0.5),پيچ خوردگي(0.25),پيچ و خم(0.25),چرخ(0.25),گشت ماشين تراش(0.25),قرقره(0.25),استعداد(0.25),تمايل(0.25),تغيير جهت(0.25),دگرگون ساختن(0.25),منحرف شدن(0.25),چرخ زدن(0.25),معطوف داشتن(0.25),تاه زدن(0.25),گشتن(0.25),چرخيدن(0.25),گرداندن(0.25),وارونه كردن(0.25),تبديل كردن(0.25),معكوس كردن(0.25),تغيير دادن(0.25),چرخ خوردن(0.25),پيچاندن(0.25),تغيير جهت دادن(0.25),خيش زدن(0.25),خيش كشيدن(0.25),عطف كردن(0.25),بر گرداندن(0.25),پشت و رو كردن(0.25),پيچ خوردن(0.25)
turnover|حجم معاملات(0.75),انتقال(0.5),برگشت(0.5),تغيير و تبديل(0.5),تعويض(0.5),قطاب(0.25),برگشتگي(0.25),عايدي فعاليت(0.25),محصول(0.25),بازده(0.25),عملكرد(0.25),واژگون شدگي(0.25),برگردان(0.25)
tv|تلويزيون(0.75)
tweed|پشم ونخ راه راه(0.75),نوعي فاستوني(0.75),پارچه پشم ونخ راه راه مردانه(0.5)
twelve|دوازده(0.75),دوازدهگانه(0.5),يك دوجين(0.25)
twentieth|بيستم(0.75),بيستمين(0.5),يك بيستم(0.25)
twenty|بيست(0.75),عدد بيست(0.25)
twice|دو برابر(0.75),دوبار(0.75),دو مرتبه(0.5),دو دفعه(0.25)
twist|پيچ(0.75),پيچ خوردگي(0.5),تاب(0.5),نخ يا ريسمان تابيده(0.25),پيچيدگي(0.25),تاب خوردن(0.5),پيچيدن(0.5),پيچاندن(0.5),تابيدن(0.5),تاب دادن(0.25),پيچ دادن(0.25),پيچ دار كردن(0.25),چرخيدن(0.25),خم كردن(0.25)
two|دو(0.75)
type|نوع(0.75),گونه(0.5),قسم(0.25),حروف چاپ(0.25),رقم(0.25),الگو(0.25),حروف چاپي(0.25),كليشه(0.25),باسمه(0.25),ماشين كردن(0.25),قبيل(0.25),طبقه بندي كردن(0.25),با ماشين تحرير نوشتن(0.25),نوع خون را معلوم كردن(0.25)
typescript|typescript(0.75)
typeset|حروفچيني كردن(0.75)
typesetting|حروف چيني(0.75)
typhimurium|تيفي موريوم(0.75)
u|تو(0.75)
udf|UDF(0.75)
ui|رابط كاربر(0.75)
uk|بريتانيا(0.75)
ukrainian|اوكراين(0.75)
ultimately|در نهايت(0.75)
un|سازمان ملل متحد(0.75)
unable|ناتوان(0.5),عاجز(0.5)
unarm|خلع سلاح كردن(0.75)
unaware|غافل(0.75),بي خبر(0.75),بي اطلاع(0.75),ناگهان(0.25),ناخود اگاه(0.25)
unbecoming|ناخوشايند(0.75),نا زيبا(0.75),نا شايسته(0.75)
uncertainty|ترديد(0.5),شك(0.5),چيز نامعلوم(0.25),بلاتلكيفي(0.25),نا معلومي(0.25)
unclear|نا معلوم(0.5),نامفهوم(0.5),معلق(0.25),نامساعد(0.25),نا پيدا(0.25)
uncomprehendingly|uncomprehendingly(0.75)
unconnected|بيارتباط(0.75)
under|تحت(0.75),زير(0.75),در زير(0.5),كمتر از(0.5),تحت تسلط(0.25),مخفي در زير(0.25),كسري دار(0.25),زيرين(0.25),موجود درزيرسطح(0.25),كسر(0.25)
undergo|تحت(0.75)
underground|زير زمين(0.5),راهاهن زير زميني(0.25),تشكيلات محرمانه و زيرزميني(0.25),واقع در زير زمين(0.25)
undergrowth|زير رست(0.75),زير گياه(0.75),پشم زيرين(0.75)
underline|زير چيزي خط كشيدن(0.5),تاكيد كردن(0.5),خط زيرين(0.5)
undermine|تحليل بردن(0.5),از زير خراب كردن(0.25),نقب زدن(0.25)
undermining|تضعيف(0.75)
understand|فهميدن(0.5),ملتفت شدن(0.25),دريافتن(0.25),درك كردن(0.25),رساندن(0.25),سردراوردن از(0.25)
understanding|فهم(0.75),خرد(0.25),هوش(0.25),ادراك(0.5),توافق(0.5),تظر(0.25),مطلع(0.25),ماهر(0.25),فهميده(0.25),با هوش(0.25)
undertake|بعهده گرفتن(0.5),تعهد كردن(0.25),متعهد شدن(0.25),قول دادن(0.25),متقبل شدن(0.25),تقبل كردن(0.25),عهده دار شدن(0.25)
undertaking|متعهد(0.5),متقبل(0.5),مسئول(0.5),جواب گو(0.5),كارگير(0.5),مقاطعه كار كفن ودفن(0.5),كسيكه طرح ياكاري را بعهده ميگيرد(0.25)
undoubtedly|مسلما(0.5)
undress|جامه معمولي(0.75),عريان كردن(0.75),لباس كندن(0.75)
unemployed|بي كار(0.5),بي مصرف(0.25),بكار بيفتاده(0.25)
unemployment|بي كاري(0.5),عدم اشتغال(0.5)
unequal|نابرابر(0.75),نامساوي(0.5),غير مساوي(0.5),غير متعادل(0.25),نا مرتب(0.25)
unesco|يونسكو(0.75)
unexpected|غير منتظره(0.75),غير مترقبه(0.75),ناگاه(0.25),فجيع(0.25)
unexpectedly|به طور غير منتظره(0.75)
unfavourable|نامساعد(0.75),بد(0.5),نا مطلوب(0.5),بد قيافه(0.5),ناميمون(0.5),برعكس(0.5),زشت(0.5)
unfiltered|فيلتر نشده(0.75)
unforgettable|فراموش نشدني(0.75),از ياد نرفتني(0.5)
unfortunately|متاسفانه(0.75),بدبختانه(0.5)
unhappiness|ناخشنودي(0.75)
unhappy|ناكام(0.5),شوربخت(0.5),مستمند(0.25),نامراد(0.25),بداقبال(0.25),بد بخت(0.25)
unhelpful|سودمند(0.75)
unified|متحد(0.75),متشكلازقطعات مرتبط(0.25)
uniform|يكسان(0.75),يك شكل(0.5),يك دست(0.25),متحد الشكل(0.25),يك ريخت(0.25),يك نواخت(0.25),اونيفورم(0.5),يك نواخت كردن(0.25)
unikom|unikom(0.75)
unimpressed|unimpressed(0.75)
unincorporated|unincorporated(0.75)
uninformative|بيارزش(0.75)
union|اتحاديه(0.75),اتحاد(0.75),الحاق(0.25),پيوند(0.5),اجتماع(0.5),انجمن(0.25),ائتلاف(0.25),اتحاد و اتفاق(0.25),يگانگي وحدت(0.25),اتصال(0.25),پيوستگي(0.25),وصلت(0.25),اشتراك منافع(0.25),بهم پيوستگي(0.25)
unionism|اتحاديه گرايي(0.5),اصول تشكيلات اتحاديه(0.5)
unique|منحصر به فرد(0.75),بي نظير(0.5),يكتا(0.5),يگانه(0.5),فرد(0.5),بي همتا(0.5),بي مانند(0.25),بي تا(0.25)
unit|واحد(0.75),يگان(0.5),يك(0.25),عده(0.25),يكه(0.25),شمار(0.25),يك دستگاه(0.25),عدد فردي(0.25)
unite|متحد كردن(0.5),يكي كردن(0.5),بهم پيوستن(0.25),متفق كردن(0.25),وصلت دادن(0.25),تركيب كردن(0.25)
united|متحد(0.75),پيوسته(0.5)
unity|وحدت(0.75),يگانگي(0.5),واحد(0.5),پيوستگي(0.25),شركت(0.25),اشتراك(0.25),شماره يك(0.25)
universal|جهاني(0.75),همگاني(0.5),فراگير(0.5),عمومي(0.5),جامع(0.5),مشتق از دنيا(0.25),كلي(0.25),عالمگير(0.25)
university|دانشگاه(0.75),مدرسه(0.25)
unladen|unladen(0.75)
unless|مگر(0.75),مگراينكه(0.5),جز اينكه(0.25)
unlike|برخلاف(0.75),برعكس(0.5),برعكس(0.5),بي شباهت(0.5),غير(0.25)
unlikely|غير محتمل(0.75),بعيد(0.75),غير جذاب(0.25),قابل اعتراض(0.25)
unlimited|نا محدود(0.5),بي حد(0.5),مطلق(0.25),نا مشخص(0.25),نا معلوم(0.25),نا معين(0.25)
unmistakable|بي ترديد(0.75),خالي از اشتباه و سو تفاهم(0.5)
unnecessary|غير ضروري(0.75),غير لازم(0.5),نالازم(0.25),غير واجب(0.25),بيش از حد لزوم(0.25)
unnoticed|خسته شده ايد(0.75)
unofficially|غيررسمي(0.75)
unorganised|درهم و برهم(0.75),فاقد سازمان(0.5),نابسامان(0.5),غير مشتكل(0.5),تشكيل نشده(0.5)
unpopular|منفور(0.75),غير محبوب(0.5),بد نام(0.5),غيرمشهور(0.5)
unpublished|منتشر نشده(0.75)
unqualified|بي حد و حصر(0.75),فاقد صلاحيت(0.75),فاقد شرايط لازم(0.5),نا محدود(0.5),كامل(0.25)
unquenchable|سيري ناپذير(0.75)
unrepresentative|نمايندگان راستين(0.75)
unrest|اضطراب(0.5),اشفتگي(0.5),ناارامي(0.25),اشوب(0.25),بي تابي(0.25),بي قراري(0.25)
unstable|بي ثبات(0.75),متزلزل(0.5),نا پايدار(0.5),ناپايا(0.25),نااستوار(0.25),بي پايه(0.25),لرزان(0.25),زود گذر(0.25)
unstamped|unstamped(0.75)
unsung|ستايش نشده(0.75),سروده نشده(0.75),خوانده نشده(0.25)
until|تا(0.75),تا وقتي كه(0.5),تا اينكه(0.5),وقتي كه(0.25)
unusual|غير عادي(0.75),غيرمعمول(0.5),غريب(0.25),مخالف عادت(0.25),خارق العاده(0.25)
up|بالا(0.75),در حال كار(0.25),جلو(0.25),برخاستن(0.25),بالا رفتن(0.25),ترقي كردن(0.25),بالا بردن يا ترقي دادن(0.25),روي(0.25),بالاي(0.25),در بلندي(0.25),بر فراز(0.25)
updating|به روز رساني(0.75)
upgrade|ارتقا(0.75)
upholster|پرده زدن(0.75),مبلمان كردن(0.75),رومبلي زدن(0.75)
upon|بر(0.75),روي(0.5),بر روي(0.5),بمحض(0.5),بر فراز(0.25),بمجرد(0.25)
upper|بالا(0.75),فوقاني(0.75),بالايي(0.75),بالاتر(0.5),زبرين(0.25),بالا رتبه(0.25),رويه(0.25)
ups|يو پي اس(0.75)
upset|ناراحت(0.75),نژند(0.25),اشفته(0.25),واژگون كردن(0.25),چپه كردن(0.25),اشفتن(0.25),اشفته كردن(0.25),مضطرب كردن(0.25),بر گرداندن(0.25),شكست غير منتظره(0.25),واژگوني(0.25)
upside|بالا(0.75)
upton|اپتون(0.75)
upwards|بطرف بالا(0.5),بالايي(0.5),روببالا(0.25),روبترقي(0.25)
urban|شهري(0.75),وابسته بناحيه مسكوني مزروعي(0.25),مدني(0.25),اهل شهر(0.25),شهر نشين(0.25)
urge|مناسبت(0.5),انگيزش(0.5),اصرار كردن(0.5),با اصرار وادار كردن(0.25),انگيختن(0.25),تسريع شدن(0.25),ابرام كردن(0.25)
urgent|فوري(0.75),ضروري(0.75),مبرم(0.5),اصرار كننده(0.25),فشاراور(0.25),مصرانه(0.25)
urinalysis|تجزيه شيميايي ادرار(0.5),پيشاب سنجي(0.5)
urine|ادرار(0.75),بول(0.25),پيشاب(0.25),زهر اب(0.25),شاش(0.25)
us|ما(0.75),به ما(0.5),مارا(0.25),بما(0.25),خودمان(0.25),نسبت بما(0.25)
usa|ايالات متحده(0.75)
use|استفاده(0.75),مصرف(0.75),كاربرد(0.5),استعمال(0.5),عادت(0.25),سود(0.25),منفعت(0.25),اطلاق(0.25),فايده(0.25),تمرين(0.25),خاصيت(0.25),استفاده كردن(0.5),بهره برداري كردن از(0.25),استعمال كردن(0.25),مصرف كردن(0.25),بكار بردن(0.25),بكار انداختن(0.25)
user|كاربر(0.75),بكار برنده(0.25),استفاده كننده(0.25),استعمال كننده(0.25)
using|با استفاده از(0.75)
ussr|اتحاد جماهير شوروي(0.75)
usual|معمول(0.75),هميشگي(0.5),معمولي(0.75),متداول(0.5),عادي(0.5),مرسوم(0.5),معتاد(0.25)
usually|معمولا(0.75)
utensil|ظرف(0.75),ظروف(0.75),وسايل(0.5),اسباب(0.5),مخلفات(0.5)
utilise|استفاده(0.75)
utility|سودمندي(0.5),فايده(0.5),سود(0.5),مفيديت(0.25),صنايع همگاني(0.25),كاربردپذيري(0.25)
utmost|بيشترين(0.75),حد اعلي(0.5),دورترين(0.5),حد اكثر(0.5),منتهاي كوشش(0.5)
v|V(0.75)
vacant|خالي(0.75),بي متصدي(0.5),بلاتصدي(0.5),اشغال نشده(0.5),بي كار(0.5)
vaccine|واكسن(0.75),مايه(0.25),مايه ابله(0.25)
vague|مبهم(0.75),معلق(0.25),غير معلوم(0.25),سر بسته وابهام دار(0.25),كجيپا(0.25),سيال(0.25)
valid|معتبر(0.75),صحيح(0.5),درست(0.5),قوي(0.25),سالم(0.25),قانوني(0.25),داراي اعتبار(0.25),موثر(0.25)
validate|معتبر ساختن(0.5),قانوني كردن(0.25),قانوني شناختن(0.25),تنفيذ كردن(0.25),نافذ شمردن(0.25)
validity|اعتبار(0.75),تاييد(0.25),تصديق(0.25),تنفيذ(0.25),صحت(0.5),درستي(0.25)
valley|دره(0.75),وادي(0.5),ميانكوه(0.25),جلگه(0.25),گودي(0.25),شيار(0.25)
valuable|با ارزش(0.75),گرانبها(0.5),قيمتي(0.25),نفيس(0.25),پر بها(0.25),چيز گرانبها(0.25)
value|ارزش(0.75),مقدار(0.75),ارج(0.5),بها(0.5),قيمت(0.5),قدر(0.5),فرجه(0.25),سنجيدن(0.25),قيمت كردن(0.25),قدرداني كردن(0.25),گرامي داشتن(0.25)
van|ون(0.75)
vance|ونس(0.75)
variable|بي وفا(0.25),تغيير پذير(0.25),بي ثبات(0.25),بي قرار(0.25),پر از تنوعات(0.25),متغير(0.75)
variation|تغيير(0.5),دگرگوني(0.5),اختلاف(0.5),ناپايداري(0.25),بي ثباتي(0.25),تغيير پذيري(0.25)
varied|متنوع(0.75),گوناگون(0.5),قابل تغيير(0.25),داراي رنگهاي گوناگون(0.25),رنگارنگ(0.25)
varies|متفاوت(0.75)
variety|تنوع(0.75),گوناگوني(0.5),نوع(0.5),واريته(0.5),جورواجور(0.25)
various|مختلف(0.75),گوناگون(0.75),متنوع(0.5),غير متجانس(0.25),چندين(0.25),جورواجو(0.25),چند تا(0.25)
varsity|تيم اول دانشگاه يا دانشكده(0.5)
vary|متفاوت(0.75)
vast|وسيع(0.75),پهناور(0.5),بزرگ(0.5),عظيم(0.5),فراوان(0.5),زياد(0.5),بيكران(0.5)
vastly|بسيار(0.75)
ve|ام(0.75)
